;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
LT400.25;-0,137202517;-0,141123113;-0,133501152;-0,097316213;x;x;0,056572219;-0,12679678;-0,047452452;x;x;-0,133220033;-0,087149989;-0,069233157;x;-0,291889559;-0,290169092;-0,294701955;-0,298994726;-0,320906336;-0,345589256;-0,363089636;-0,357519936;-0,25590602;-0,250930514;-0,261274116;-0,257758145;x;-0,068513807;-0,119095481;-0,244164318;x;-0,058019973;-0,058427286;-0,36188981;-0,060351956;-0,059579385;-0,067039284;-0,196108761;x;x;x;x;x;x;x;-0,044918039;-0,034313461;x;x;-0,045993664;-0,066011048;x;x;1;-0,291727942;-0,338682123;-0,362674587;0,927798149;-0,286300857;-0,328411684;-0,349759956;0,066235862;-0,219111844;-0,252933802;-0,252807929;0,120164805;-0,173247303;x;-0,135889086;0,109609358;-0,171874857;x;-0,132779407;x;-0,048372051;-0,13822179;-0,187480896;0,18183711;-0,281800582;-0,062822765;-0,161041775;-0,201510351;-0,125302702
LT400.5;0,443421473;0,452153584;0,432208936;0,301776151;0,118479479;0,11896863;x;0,365689369;0,226732488;0,170684355;x;0,371378325;0,262340472;0,239973817;0,079576382;0,635888802;0,69983565;0,70204263;0,711455828;0,561951602;0,75971093;0,782354251;0,82764962;0,545253042;0,641016273;0,648440702;0,666217608;0,100642186;0,153492354;0,178503513;0,515033918;x;0,072180585;0,079879081;0,655469116;0,088073443;0,128576675;0,149716326;0,410102435;0,275534653;0,275534653;0,275534653;0,268624485;0,172263708;0,077588536;0,032762713;0,324959881;0,252169552;0,133062489;0,047197791;0,320124707;0,272245543;0,174474695;0,107541616;-0,291727942;1;0,844949978;0,812863213;-0,321636386;0,987398985;0,837277156;0,811722002;0,143607926;0,664745394;0,656492955;0,654824602;x;0,259080241;0,166190237;0,23172242;-0,085545262;0,222126935;0,100763644;0,109441687;0,126274289;0,168832202;0,183764187;0,358950159;-0,178279509;0,080029273;0,17265816;0,406220269;0,434342728;0,365916086
LT400.75;0,457473987;0,467921541;0,452359977;0,323567055;0,133380253;0,113293487;x;0,379752982;0,239071918;0,168558882;x;0,386049759;0,279583127;0,250034801;0,083380268;0,684115834;0,750783658;0,755250667;0,766752983;0,609936345;0,814128493;0,838543977;0,886082877;0,590104338;0,678794433;0,693017938;0,709449675;0,096693255;0,16937767;0,205883444;0,573492963;x;0,070860877;0,09852152;0,721818518;0,103008555;0,146324342;0,173334409;0,455363476;0,286944464;0,286944464;0,286944464;0,271137548;0,163362244;0,08639915;0,038119094;0,339973754;0,259914108;0,134942381;0,045429322;0,32501759;0,268757728;0,176131552;0,107933046;-0,338682123;0,844949978;1;0,951062208;-0,37359999;0,832582527;0,982614898;0,939777096;0,116612821;0,672419426;0,73077551;0,733249196;0,065352168;0,211019716;0,218222745;0,296148677;-0,057913019;0,172561298;0,143100974;0,164935233;0,135329905;0,131928317;0,244791903;0,419146132;-0,168439954;0,092390592;0,173065379;0,423886718;0,453119133;0,395690889
LT401;0,466007003;0,472962754;0,461997808;0,329576029;0,1362219;0,107544863;x;0,382973854;0,238457195;0,158942007;x;0,39837328;0,283075862;0,244520327;0,065723834;0,710135726;0,776737816;0,781945859;0,793437562;0,637568902;0,839265541;0,86596376;0,910940826;0,608526288;0,695453718;0,714408427;0,728099705;0,107143259;0,184178412;0,224582792;0,58890888;x;0,094563497;0,130008861;0,754102901;0,10713587;0,149653113;0,185203686;0,473125824;0,292043669;0,292043669;0,292043669;0,270567791;0,153825281;0,082400497;0,04135107;0,341429656;0,2559332;0,131447726;0,04341176;0,328168164;0,265223443;0,170728828;0,111968851;-0,362674587;0,812863213;0,951062208;1;-0,398451128;0,800436751;0,932980889;0,976191029;0,096320791;0,663903848;0,73422318;0,74214247;0,060281136;0,249359725;0,19341478;0,351328307;-0,065094972;0,210193615;0,114682921;0,207723098;0,123628315;0,159566791;0,269864685;0,443489838;-0,18070747;0,103489258;0,163036947;0,426754563;0,459130142;0,395739119
LT410.25;-0,156966705;-0,157006951;-0,148665765;-0,108198924;x;-0,044047015;0,046332908;-0,149373997;-0,057738798;-0,034637432;x;-0,153179283;-0,10104854;-0,082384513;x;-0,318506545;-0,327526039;-0,33034138;-0,338644919;-0,32110113;-0,369217764;-0,387471245;-0,389533698;-0,280675292;-0,290219577;-0,304160372;-0,302156211;x;-0,072158713;-0,120259577;-0,274843928;x;-0,043123612;-0,050822641;-0,373670833;-0,068105008;-0,075367438;-0,085777791;-0,21956334;-0,054930439;-0,054930439;-0,054930439;-0,052940205;x;x;x;-0,059834533;-0,043599623;x;x;-0,09306918;-0,09364463;-0,049543321;-0,036400325;0,927798149;-0,321636386;-0,37359999;-0,398451128;1;-0,308885281;-0,355673721;-0,375713438;x;-0,262257519;-0,294999292;-0,296300326;0,076795163;-0,154870433;x;-0,147798466;0,143989396;-0,14094841;x;-0,105464835;-0,047778593;-0,048595507;-0,140547387;-0,196903818;0,170246603;-0,223672659;-0,065782564;-0,180408958;-0,208379411;-0,134002567
LT410.5;0,452131699;0,46068516;0,440690553;0,308823775;0,124926911;0,118920698;x;0,375125219;0,236988743;0,18174957;x;0,378470021;0,266154778;0,241967919;0,075307305;0,642577138;0,705420387;0,707119253;0,712866444;0,574688256;0,772193975;0,794960837;0,840186752;0,543438185;0,64105056;0,648331935;0,665920804;0,10873462;0,161822179;0,186492598;0,522902419;x;0,085432174;0,092781163;0,668784074;0,086697122;0,123816329;0,148562227;0,408272373;0,276322425;0,276322425;0,276322425;0,270121547;0,163157638;0,070590819;x;0,331188341;0,261004893;0,144349702;0,059488644;0,31862847;0,261042054;0,164741014;0,099339383;-0,286300857;0,987398985;0,832582527;0,800436751;-0,308885281;1;0,849931209;0,824458703;0,141604095;0,664040848;0,656251611;0,654572285;0,032547138;0,244771203;0,151908959;0,213490086;-0,073502267;0,234936291;0,114127244;0,127645779;0,119292687;0,159957457;0,179686904;0,358187109;-0,183902883;0,093835331;0,181759309;0,40823187;0,446333821;0,371489201
LT410.75;0,470189777;0,480368244;0,464899983;0,334557;0,141531851;0,114889502;x;0,393591853;0,253819746;0,184422514;x;0,396765871;0,285987102;0,255163317;0,077895622;0,693032277;0,758120374;0,761881092;0,767889408;0,62768855;0,8313886;0,855822533;0,903269047;0,585797267;0,677811575;0,692585145;0,708475022;0,108602443;0,181265011;0,217356491;0,584126955;x;0,088602549;0,116797145;0,739994403;0,10156534;0,140414605;0,170687148;0,453382943;0,288742719;0,288742719;0,288742719;0,27565548;0,158436408;0,075740897;x;0,34925761;0,272249643;0,150342476;0,062233537;0,325991012;0,261042606;0,162864249;0,095415276;-0,328411684;0,837277156;0,982614898;0,932980889;-0,355673721;0,849931209;1;0,957036462;0,114974129;0,671474648;0,730114238;0,732215138;0,072161188;0,201026041;0,198323286;0,269380658;-0,040268764;0,189182458;0,161567406;0,189578077;0,126705422;0,122525716;0,239850097;0,418387599;-0,175947272;0,111264968;0,186268877;0,427731735;0,470478775;0,404370003
LT411;0,48149087;0,487823959;0,477107087;0,340585524;0,143940498;0,11110897;x;0,399495479;0,255687846;0,179183579;x;0,408026339;0,289016112;0,251278842;0,058759568;0,719939757;0,78490131;0,789141393;0,793525088;0,658445694;0,859612149;0,886563269;0,931352935;0,60279169;0,693282783;0,712068504;0,725720813;0,12087738;0,197850174;0,237732608;0,601093585;x;0,115125338;0,15098905;0,775937773;0,103794942;0,140796309;0,183954207;0,470619714;0,294040273;0,294040273;0,294040273;0,274495494;0,15058566;0,074415102;x;0,351978055;0,270340523;0,149450804;0,063334011;0,327819112;0,258328095;0,158644574;0,096037481;-0,349759956;0,811722002;0,939777096;0,976191029;-0,375713438;0,824458703;0,957036462;1;0,09319268;0,66161373;0,732519054;0,739667902;0,069748966;0,241705786;0,175403657;0,314617197;-0,042194536;0,229524712;0,136147263;0,236815422;0,114148584;0,150251648;0,267791629;0,445057445;-0,187795035;0,126220056;0,18056724;0,43161461;0,479497413;0,407033673
LT420.25;0,161021037;0,166614511;0,16204637;0,14823359;0,156820995;0,114335342;0,05329265;0,107063757;0,084476208;0,06398208;x;0,179376775;0,220036833;0,248637197;0,307103611;0,219332415;0,254358021;0,250985232;0,237549727;x;0,042309317;0,058397344;0,081033388;0,272149515;0,314387506;0,31651859;0,323859051;0,273833643;0,264540085;0,250552136;0,274372783;x;-0,040776404;-0,056388092;-0,048777193;0,314846554;0,30780072;0,262578518;0,232708742;0,16614145;0,16614145;0,16614145;0,176845572;0,118987791;0,041714386;x;0,130986249;0,084669183;x;x;0,281550358;0,289942804;0,318303887;0,332553535;0,066235862;0,143607926;0,116612821;0,096320791;x;0,141604095;0,114974129;0,09319268;1;0,398992143;0,344399399;0,339995211;0,073204225;-0,133548539;-0,103683187;-0,334294908;x;-0,150226285;-0,137882159;-0,483886065;0,578988243;0,308806386;0,231659319;0,25514513;0,249064792;-0,172855178;0,226497598;0,309797832;0,137821125;0,191329531
LT420.5;0,459790526;0,462928324;0,453131359;0,357105001;0,202761674;0,172758584;x;0,371081045;0,238396499;0,179562364;x;0,42613909;0,374526489;0,366533744;0,286401059;0,791338039;0,853444299;0,855687391;0,859628833;0,448625151;0,600770431;0,631673567;0,671390329;0,785365957;0,86845316;0,878898207;0,892438956;0,350007228;0,397809098;0,425250805;0,735824008;x;0,043719177;0,06379552;0,423371446;0,351770549;0,378509759;0,390043091;0,647313961;0,286890424;0,286890424;0,286890424;0,316165505;0,207335118;0,059442779;x;0,328354647;0,245588344;0,088508093;x;0,43689563;0,427431697;0,372343405;0,33630324;-0,219111844;0,664745394;0,672419426;0,663903848;-0,262257519;0,664040848;0,671474648;0,66161373;0,398992143;1;0,92003749;0,899925132;0,089735705;0,154461434;0,051293833;-0,050914489;-0,035795714;0,128611112;x;-0,240518519;0,37844688;0,436467654;0,402943134;0,591833558;0,086954041;-0,054788229;0,323561207;0,633677134;0,447007139;0,48832174
LT420.75;0,477691196;0,483450222;0,47536761;0,377846204;0,208531908;0,167073239;x;0,3917366;0,244821382;0,185446744;x;0,443706615;0,39256235;0,379413215;0,28345808;0,856463524;0,917130863;0,925187575;0,928248019;0,49806432;0,655487932;0,691434189;0,730644947;0,83858908;0,917221011;0,936181496;0,949608799;0,349929613;0,417336304;0,472741056;0,797304303;x;0,061804894;0,082675284;0,488299968;0,363529022;0,391789265;0,429878645;0,700987722;0,308639723;0,308639723;0,308639723;0,326171165;0,202292294;0,05549574;x;0,343448792;0,256459267;0,090379191;x;0,458419708;0,43503809;0,378248414;0,335954264;-0,252933802;0,656492955;0,73077551;0,73422318;-0,294999292;0,656251611;0,730114238;0,732519054;0,344399399;0,92003749;1;0,975719978;0,10415555;0,193231898;0,065606834;x;x;0,166722443;x;-0,190000724;0,360906606;0,414997116;0,498159217;0,679065931;0,078464539;-0,03547428;0,332278309;0,661347253;0,473208106;0,506395561
LT421;0,476964302;0,479392275;0,473176607;0,37390197;0,211502972;0,169294078;x;0,390663919;0,250466187;0,186168677;x;0,445917921;0,399578076;0,38896329;0,281945871;0,866289371;0,930382466;0,937603682;0,942270885;0,504920106;0,665017075;0,700135309;0,741117831;0,849324221;0,929257229;0,947490158;0,962006773;0,349231511;0,427600278;0,480760963;0,808334517;x;0,067585344;0,090447285;0,493872746;0,366034551;0,400116894;0,439784762;0,712663829;0,301191762;0,301191762;0,301191762;0,331665634;0,210575733;0,06434464;x;0,34527946;0,261801579;0,098258834;x;0,454179899;0,437586502;0,386811605;0,34570174;-0,252807929;0,654824602;0,733249196;0,74214247;-0,296300326;0,654572285;0,732215138;0,739667902;0,339995211;0,899925132;0,975719978;1;0,110123641;0,194176745;0,084179197;x;x;0,1675043;x;-0,18090476;0,364213011;0,410874667;0,4847053;0,678911354;0,078973043;x;0,336260658;0,663446539;0,473115576;0,506469867
LT600.25;0,087481665;0,113548961;0,095456632;0,081416345;0,053373073;0,033397766;x;0,066281501;0,041683172;0,040968991;x;0,096018948;0,057031136;0,05506943;x;0,102973247;0,113673154;0,114829901;0,118094708;0,044710229;0,092016223;0,089023827;0,091648645;0,09308316;0,115518588;0,119274955;0,122893592;0,036319922;0,071389048;0,072499234;0,115520515;x;x;0,031903259;0,058389936;0,050421371;0,069219878;0,080288967;0,083209715;0,124748064;0,124748064;0,124748064;0,202771903;0,095757165;x;x;0,17914287;0,110509481;0,046061122;0,037101719;0,205359877;0,137355496;0,086941989;0,080720919;0,120164805;x;0,065352168;0,060281136;0,076795163;0,032547138;0,072161188;0,069748966;0,073204225;0,089735705;0,10415555;0,110123641;1;x;0,166482669;x;0,928627928;x;0,15203386;x;0,053893784;0,099554373;0,047739498;x;0,060172316;-0,049042184;0,064776064;0,109404884;0,091396699;0,091797015
LT600.5;0,216697201;0,212823911;0,235362828;0,150719705;0,079447213;0,078187686;x;0,174885508;0,095066534;0,091061375;x;0,198337723;0,133470669;0,091865838;x;0,293874974;0,282124632;0,28876255;0,290327739;0,298797892;0,311844196;0,313204417;0,304415271;0,221011732;0,2299236;0,238531835;0,238173333;0,065839627;0,101606071;0,156820024;0,17300311;0,070365375;0,148561484;0,164099872;0,281819279;x;0,049042059;0,096568184;0,167527158;0,111385839;0,111385839;0,111385839;0,094025323;0,075938208;x;x;0,129497048;0,092368285;0,037865389;x;0,117052893;0,122619898;0,048474763;x;-0,173247303;0,259080241;0,211019716;0,249359725;-0,154870433;0,244771203;0,201026041;0,241705786;-0,133548539;0,154461434;0,193231898;0,194176745;x;1;0,344649804;0,355720378;x;0,97549909;0,290993061;0,301002191;x;0,237769004;0,080977359;0,126298667;-0,070342656;0,172400403;0,108587895;0,182513911;0,271701094;0,184094348
LT600.75;0,062859336;0,071350993;0,057588074;x;x;x;x;0,053366144;x;x;x;0,055977427;x;x;-0,058226793;0,141272805;0,167041524;0,160297294;0,175175017;0,172818014;0,218347535;0,203937084;0,223993903;0,12551621;0,135003753;0,120682827;0,127558285;x;0,051193171;x;0,089837928;x;0,068250952;0,053915982;0,21053512;x;0,062740715;0,047396864;0,086052896;0,074215302;0,074215302;0,074215302;0,062538416;0,080938275;0,062394718;0,059778919;0,081628298;0,09252714;0,086841061;0,081577329;0,044136246;0,054241653;x;x;x;0,166190237;0,218222745;0,19341478;x;0,151908959;0,198323286;0,175403657;-0,103683187;0,051293833;0,065606834;0,084179197;0,166482669;0,344649804;1;0,441020119;0,121392023;0,309235423;0,939931529;0,369947213;0,082918927;x;-0,061097354;x;-0,054797778;0,108045019;x;x;0,098395234;0,058255688
LT601;0,12956606;0,140802186;0,135244511;0,067145183;-0,034269579;x;x;0,106828624;0,042541248;x;x;0,088848965;x;-0,071818178;-0,213087886;0,103047407;0,12678738;0,134002518;0,157311578;0,29049766;0,359657437;0,358569004;0,368255581;x;0,040595734;0,056351039;0,058602761;-0,213020783;-0,173545115;-0,131387687;x;0,037135729;0,1229862;0,155251174;0,41482813;-0,224835717;-0,187923247;-0,151408488;-0,033509422;0,12652503;0,12652503;0,12652503;0,041693099;x;0,057840605;0,083581843;0,101802077;0,088102932;0,095545079;0,091243418;x;-0,055237122;-0,141496114;-0,183944181;-0,135889086;0,23172242;0,296148677;0,351328307;-0,147798466;0,213490086;0,269380658;0,314617197;-0,334294908;-0,050914489;x;x;x;0,355720378;0,441020119;1;x;0,299948816;0,303576556;0,787901344;-0,20705307;-0,196107178;-0,124978287;-0,066313408;-0,330724365;0,140672945;-0,113628785;-0,067190258;0,122858172;0,040374691
LT610.25;x;0,045053991;x;0,035014565;x;x;x;x;x;x;x;0,042037857;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,032787294;0,038660641;x;x;x;0,034686848;x;x;x;0,039796768;x;0,046878612;0,046878612;0,046878612;0,121101947;0,055265273;x;x;0,143841434;0,084997969;0,050770473;0,052776516;0,071958492;0,049357476;0,033010731;0,043265178;0,109609358;-0,085545262;-0,057913019;-0,065094972;0,143989396;-0,073502267;-0,040268764;-0,042194536;x;-0,035795714;x;x;0,928627928;x;0,121392023;x;1;x;0,144523206;x;-0,04058555;0,067565023;x;-0,046986533;0,047153962;x;0,036764001;0,032679876;0,038798084;0,036856577
LT610.5;0,205469183;0,199929912;0,22411372;0,143005112;0,073444108;0,06614399;-0,036139651;0,17044175;0,094878026;0,093450572;x;0,186369129;0,121522284;0,079556863;x;0,281199701;0,262569991;0,267824732;0,265567878;0,300746378;0,301971381;0,303713255;0,291905785;0,199612096;0,205661969;0,213160846;0,211046027;0,065792197;0,099055761;0,153940994;0,163779992;0,087728166;0,161428082;0,178366054;0,280386906;x;0,04013157;0,08943688;0,151365617;0,083031196;0,083031196;0,083031196;0,085183842;0,058145678;x;x;0,121853687;0,094304515;0,041636269;x;0,096495248;0,098483647;x;x;-0,171874857;0,222126935;0,172561298;0,210193615;-0,14094841;0,234936291;0,189182458;0,229524712;-0,150226285;0,128611112;0,166722443;0,1675043;x;0,97549909;0,309235423;0,299948816;x;1;0,310911496;0,324961583;x;0,224685187;0,064710935;0,114944812;-0,08499072;0,205887204;0,11261245;0,164119368;0,268898756;0,171460075
LT610.75;x;x;x;x;-0,037101174;x;x;x;x;x;x;x;x;x;-0,093299375;0,09974614;0,111959506;0,101191429;0,10932704;0,167084134;0,183366279;0,167980476;0,182488583;0,074063106;0,072389154;0,055449903;0,05812209;x;0,043020675;x;0,057012525;0,037718776;0,075855203;0,071234248;0,196216577;-0,044817907;0,044813845;x;0,043665651;x;x;x;0,036182614;0,058511192;0,044151183;0,045730529;0,053854027;0,087947382;0,091794867;0,09115951;x;x;x;-0,066620144;x;0,100763644;0,143100974;0,114682921;x;0,114127244;0,161567406;0,136147263;-0,137882159;x;x;x;0,15203386;0,290993061;0,939931529;0,303576556;0,144523206;0,310911496;1;0,409884105;0,058023929;x;-0,098279842;-0,042359767;-0,084475271;0,173299095;x;x;0,077120382;x
LT611;x;x;x;x;-0,091020166;-0,076854449;-0,048786783;x;x;x;x;x;-0,128161693;-0,176893528;-0,330010842;x;x;x;x;0,288993668;0,303685648;0,294828521;0,290807159;-0,141873997;-0,135087334;-0,126383783;-0,130915456;-0,285411419;-0,241875314;-0,2084653;-0,114820587;0,075248943;0,143645466;0,189595503;0,415223242;-0,319797786;-0,281382217;-0,25595743;-0,158677122;x;x;x;-0,050484232;x;x;0,06561749;x;0,053991454;0,095238097;0,112440322;-0,132823744;-0,182918748;-0,268496259;-0,321697955;-0,132779407;0,109441687;0,164935233;0,207723098;-0,105464835;0,127645779;0,189578077;0,236815422;-0,483886065;-0,240518519;-0,190000724;-0,18090476;x;0,301002191;0,369947213;0,787901344;x;0,324961583;0,409884105;1;-0,320562131;-0,301894156;-0,230824143;-0,16939375;-0,446504372;0,301641586;-0,171961754;-0,232518855;0,054467439;-0,089332764
LT620.25;0,146457558;0,144967432;0,130902854;0,148977674;0,11830229;0,108488352;x;0,110427746;0,06532715;0,054210925;x;0,173675067;0,217875145;0,251800358;0,262712725;0,321273552;0,333684493;0,324858305;0,316048816;0,088639476;0,113710468;0,11889843;0,123997353;0,369044395;0,379499163;0,366198646;0,368532302;0,315959196;0,340518479;0,331446456;0,353762422;x;x;x;x;0,331753995;0,383095041;0,336877473;0,34040119;0,114052213;0,114052213;0,114052213;0,200018686;0,143910238;0,067393594;x;0,11166531;0,070916807;x;x;0,288644234;0,301651085;0,3406016;0,358804386;x;0,126274289;0,135329905;0,123628315;-0,047778593;0,119292687;0,126705422;0,114148584;0,578988243;0,37844688;0,360906606;0,364213011;0,053893784;x;0,082918927;-0,20705307;-0,04058555;x;0,058023929;-0,320562131;1;0,449781839;0,220061899;0,329788579;0,232157031;x;0,276562773;0,333801931;0,160257463;0,212426249
LT620.5;0,228545122;0,219488723;0,221725973;0,206306687;0,170628992;0,143565075;x;0,190875059;0,137781442;0,091172529;x;0,241337397;0,271897618;0,29179898;0,280262514;0,425475794;0,429664981;0,427498331;0,415308591;0,166636928;0,169362954;0,176734541;0,172810938;0,455577079;0,438487856;0,443568491;0,441215964;0,391943167;0,418035396;0,413725712;0,414932134;0,045571947;0,048905161;0,077890934;0,084342973;0,371526987;0,412936917;0,394164878;0,441424628;0,105034819;0,105034819;0,105034819;0,150793729;0,125767972;0,047221311;x;0,118720722;0,077474505;x;x;0,244106411;0,301756536;0,334763662;0,353802383;-0,048372051;0,168832202;0,131928317;0,159566791;-0,048595507;0,159957457;0,122525716;0,150251648;0,308806386;0,436467654;0,414997116;0,410874667;0,099554373;0,237769004;x;-0,196107178;0,067565023;0,224685187;x;-0,301894156;0,449781839;1;0,410997754;0,394868817;0,328134952;x;0,303040789;0,450440449;0,232684351;0,304328452
LT620.75;0,268583268;0,2397457;0,254629058;0,231883479;0,17619243;0,107942544;x;0,229170858;0,132325193;0,098532045;x;0,269573264;0,290875591;0,291734031;0,280204223;0,467647441;0,485604161;0,494478759;0,479112471;0,213722961;0,227159297;0,249361914;0,257764632;0,483534613;0,479417097;0,499157528;0,499346238;0,388119449;0,38370648;0,446920666;0,543978347;0,035181342;0,063619663;0,074838586;0,240886177;0,347144931;0,357199539;0,401701819;0,518808974;0,167584517;0,167584517;0,167584517;0,197628387;0,121956173;x;-0,032543292;0,159959604;0,104445726;x;x;0,298660716;0,315858913;0,310223429;0,325242156;-0,13822179;0,183764187;0,244791903;0,269864685;-0,140547387;0,179686904;0,239850097;0,267791629;0,231659319;0,402943134;0,498159217;0,4847053;0,047739498;0,080977359;-0,061097354;-0,124978287;x;0,064710935;-0,098279842;-0,230824143;0,220061899;0,410997754;1;0,738694329;0,321299725;-0,037987838;0,307781913;0,482047072;0,289367712;0,352102362
LT621;0,339662217;0,318812301;0,325818709;0,280063559;0,193221868;0,123500796;x;0,276063488;0,173172855;0,138575262;x;0,33559912;0,332120292;0,318748451;0,281140902;0,652180053;0,676536644;0,682017559;0,672708837;0,351021345;0,410360263;0,439541789;0,454067638;0,638919143;0,671376945;0,685493963;0,688134419;0,385105551;0,421725309;0,478977644;0,705529616;x;0,0645226;0,089317192;0,349173763;0,3744816;0,404748863;0,440940837;0,650179304;0,182495822;0,182495822;0,182495822;0,25336376;0,159777685;0,053185569;x;0,222521678;0,178474165;0,070786392;x;0,345375041;0,351738889;0,344713613;0,340969463;-0,187480896;0,358950159;0,419146132;0,443489838;-0,196903818;0,358187109;0,418387599;0,445057445;0,25514513;0,591833558;0,679065931;0,678911354;x;0,126298667;x;-0,066313408;-0,046986533;0,114944812;-0,042359767;-0,16939375;0,329788579;0,394868817;0,738694329;1;0,200014946;0,047729065;0,343485904;0,565345375;0,368453491;0,412121572
IN-CLOSSENESS;x;x;x;0,043915192;0,128121919;0,094207109;x;x;x;x;x;0,041927413;0,131016233;0,183708736;0,351746534;x;x;x;x;-0,157945132;-0,212169068;-0,218398775;-0,20705618;0,076529007;0,048719907;0,060137937;0,071610989;0,341463973;0,313811929;0,277455856;0,108792318;x;-0,038564385;x;-0,245285275;0,333886932;0,324508264;0,312073971;0,154871533;0,039298938;0,039298938;0,039298938;0,055754809;0,055549024;x;x;x;x;-0,039749599;x;0,110242126;0,166432678;0,26252952;0,334430989;0,18183711;-0,178279509;-0,168439954;-0,18070747;0,170246603;-0,183902883;-0,175947272;-0,187795035;0,249064792;0,086954041;0,078464539;0,078973043;0,060172316;-0,070342656;-0,054797778;-0,330724365;0,047153962;-0,08499072;-0,084475271;-0,446504372;0,232157031;0,328134952;0,321299725;0,200014946;1;-0,301515012;0,238488613;0,187177818;x;0,121358366
OUT-CLOSENESS;-0,051902677;-0,038481823;-0,046731035;x;x;x;-0,060260841;x;x;x;x;x;x;x;-0,072094203;0,108191425;0,064017716;0,05269681;0,047810536;0,229660781;0,207451909;0,200406087;0,148731616;0,058467934;x;x;x;x;0,044982035;0,047779402;0,104442021;x;0,087145697;0,086640855;0,231620416;x;x;x;0,051305733;-0,168533963;-0,168533963;-0,168533963;x;0,039349032;0,087202144;0,088642568;x;x;0,08842461;0,096271138;-0,076107205;-0,037596208;x;x;-0,281800582;0,080029273;0,092390592;0,103489258;-0,223672659;0,093835331;0,111264968;0,126220056;-0,172855178;-0,054788229;-0,03547428;x;-0,049042184;0,172400403;0,108045019;0,140672945;x;0,205887204;0,173299095;0,301641586;x;x;-0,037987838;0,047729065;-0,301515012;1;0,046771645;x;0,113811815;x
DEGREE;0,263953624;0,25652762;0,266618443;0,281614127;0,232904638;0,180799504;x;0,247178732;0,21939289;0,196677306;x;0,277653113;0,310149747;0,318588864;0,25723199;0,316922389;0,331910204;0,330762868;0,323777286;0,157629627;0,202319739;0,19541804;0,196891856;0,336140625;0,342735981;0,343322149;0,349276233;0,282454272;0,317746703;0,30212828;0,360259018;x;0,056575132;0,070322615;0,11661935;0,270011419;0,301621103;0,298735777;0,331757897;0,09854496;0,09854496;0,09854496;0,219519132;0,205668713;0,037635538;-0,065815406;0,147473134;0,165751476;0,125911345;x;0,201267711;0,28768927;0,325065421;0,283198178;-0,062822765;0,17265816;0,173065379;0,163036947;-0,065782564;0,181759309;0,186268877;0,18056724;0,226497598;0,323561207;0,332278309;0,336260658;0,064776064;0,108587895;x;-0,113628785;0,036764001;0,11261245;x;-0,171961754;0,276562773;0,303040789;0,307781913;0,343485904;0,238488613;0,046771645;1;0,40712842;0,365303799;0,433767524
IN-DEGREE;0,561598779;0,564067307;0,559080963;0,48047185;0,298038676;0,206187554;x;0,495148785;0,349854948;0,273538534;x;0,541645349;0,483772896;0,470405633;0,285029207;0,620844413;0,648353105;0,656375848;0,651522162;0,325925329;0,408411872;0,434240804;0,449485682;0,621053583;0,652127178;0,67425122;0,67663415;0,371387871;0,411881394;0,423761129;0,60578811;x;0,067562038;0,079745596;0,293181053;0,374409126;0,378715047;0,418552326;0,55221179;0,30979999;0,30979999;0,30979999;0,385820855;0,21578402;x;-0,065592955;0,378320932;0,305663091;0,110861833;x;0,513202101;0,517143653;0,393352439;0,304825613;-0,161041775;0,406220269;0,423886718;0,426754563;-0,180408958;0,40823187;0,427731735;0,43161461;0,309797832;0,633677134;0,661347253;0,663446539;0,109404884;0,182513911;x;-0,067190258;0,032679876;0,164119368;x;-0,232518855;0,333801931;0,450440449;0,482047072;0,565345375;0,187177818;x;0,40712842;1;0,769015929;0,718300222
