;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
LT010;x;x;x;x;x;x;0,380039456;x;x;x;x;x;x;x;x;x;x;x;x;0,408749951;0,384617584;x;x;x;0,34248582;0,341835462;x;x;x;x;x;x;x;x;x;x;x;0,372959704;x;1;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;x;x;x
LT020;x;x;x;x;x;x;0,380039456;x;x;x;x;x;x;x;x;x;x;x;x;0,408749951;0,384617584;x;x;x;0,34248582;0,341835462;x;x;x;x;x;x;x;x;x;x;x;0,372959704;x;1;1;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;0,361958325;x;0,402224454;0,382601742;0,370334086;x;x;x;x;x;x;x;x;x;x
LT100.25;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;0,536362677;x;x;0,358255633;x;x;x;0,636797485;0,485397064;x;x;0,920297076;0,516752593;x;x;x;x;x;x;0,586707202;0,380323855;x;x;0,920297076;0,516752593;x;x;x;x;x;x;0,586707202;0,380323855;x;x;x;x;x;x;0,40952998
LT100.5;x;x;x;x;0,408488326;x;x;x;x;x;x;0,393089535;0,334913661;x;x;0,392017027;x;x;x;x;x;x;x;0,471634084;0,400132999;x;x;x;x;x;x;x;x;x;x;0,467953344;0,441829846;x;x;x;x;x;0,536362677;1;x;x;x;0,447017155;x;x;x;0,484125745;x;x;0,445763721;0,936535674;x;x;x;0,382385892;x;x;x;0,366323886;x;x;0,445763721;0,936535674;x;x;x;0,382385892;x;x;x;0,366323886;x;x;x;x;x;x;x
LT100.75;0,723256992;0,587825385;0,714839331;x;0,568743821;x;x;0,512884343;0,47242604;x;x;0,710658406;0,530826948;x;x;x;0,422954878;x;x;0,412460125;0,523968007;x;x;x;0,50535948;x;x;x;0,522743781;x;-0,378683615;0,338887862;0,356134271;x;x;0,387434319;x;x;x;x;x;x;x;x;1;0,457117017;0,440433076;0,648605641;0,702841226;0,405510674;-0,494227777;-0,399908989;x;x;x;x;0,70336541;x;0,458984806;0,621308554;0,505155744;x;-0,421093087;x;x;x;x;x;0,70336541;x;0,458984806;0,621308554;0,505155744;x;-0,421093087;x;x;x;x;0,69590204;x;0,601648017;x
LT101;x;0,422779333;x;x;0,509296786;x;x;0,380527789;0,459962843;0,507690521;0,509340786;0,336498203;0,420773764;x;x;x;0,584668072;x;x;x;x;0,49474912;0,49474912;x;0,381917091;x;x;x;0,537364034;x;x;0,398374759;0,404166767;0,49474912;0,49474912;x;x;x;x;x;x;x;x;x;0,457117017;1;0,489693979;x;x;0,669395087;x;x;x;x;x;x;0,588999158;0,680172368;0,557414774;x;0,381451128;0,579091862;x;x;x;x;x;x;0,588999158;0,680172368;0,557414774;x;0,381451128;0,579091862;x;x;x;x;x;0,676525668;x;0,390459009;x
LT110.25;0,514958116;0,586499566;0,63588861;x;0,664273438;x;0,387922453;0,504092494;0,637837676;0,722492599;0,741341811;x;x;x;x;x;0,526720772;x;x;0,632496819;0,599675545;0,71097436;0,71097436;0,466117027;0,5971544;x;x;0,521132136;0,454311684;x;x;0,563947141;0,594121341;0,71097436;0,71097436;0,459526257;0,369204819;x;x;x;x;x;0,358255633;x;0,440433076;0,489693979;1;0,843154761;0,648531773;0,738261154;-0,345322332;x;x;x;0,367642352;0,377474784;0,47310262;x;0,92061833;0,809652753;0,620694922;0,637977954;x;x;x;x;0,367642352;0,377474784;0,47310262;x;0,92061833;0,809652753;0,620694922;0,637977954;x;x;x;x;x;0,491810896;x;0,70598551;0,353113157
LT110.5;0,748799465;0,703846864;0,825062524;x;0,649371204;x;x;0,671567563;0,672923782;0,614084736;0,603107681;0,484564424;0,393764384;x;0,431531395;0,364484497;0,457583243;x;x;0,677688746;0,777460838;0,589071444;0,589071444;0,448707382;0,670461675;0,38519782;x;0,460098488;0,382922848;x;x;0,525155105;0,58930242;0,589071444;0,589071444;0,603844759;0,343267955;x;x;x;x;x;x;0,447017155;0,648605641;x;0,843154761;1;0,888392151;0,67182191;-0,433542245;-0,396085445;-0,336743906;x;x;0,485557591;0,555198938;x;0,808569382;0,9584877;0,7708212;0,586576001;-0,371137474;x;-0,464731586;x;x;0,485557591;0,555198938;x;0,808569382;0,9584877;0,7708212;0,586576001;-0,371137474;x;-0,464731586;x;-0,390204324;0,445786585;-0,390204324;0,807351724;x
LT110.75;0,905506358;0,832865881;0,877617729;x;0,594240785;x;x;0,808237501;0,749675871;0,590207185;0,563130444;0,488030479;0,483844173;x;0,483346709;0,344575864;0,392761603;x;x;0,737656512;0,805630916;0,544680209;0,544680209;0,441418624;0,639614554;0,472467207;0,426100779;0,403115179;x;x;x;0,61430788;0,664146463;0,544680209;0,544680209;0,615970791;0,359826389;x;0,334568776;x;x;x;x;x;0,702841226;x;0,648531773;0,888392151;1;0,734734699;-0,489108071;-0,549892515;-0,510608285;-0,378193947;x;x;0,563517334;x;0,699054801;0,886050343;0,839126075;0,653214008;-0,425564718;-0,439484457;-0,622683181;-0,455080268;x;x;0,563517334;x;0,699054801;0,886050343;0,839126075;0,653214008;-0,425564718;-0,439484457;-0,622683181;-0,455080268;-0,512482403;0,44427709;-0,509589956;0,899987714;x
LT111;0,643050963;0,745420954;0,593174242;0,435327242;0,595311527;0,359963293;0,361465765;0,756469802;0,78620635;0,820059715;0,819493342;x;0,350593453;x;0,353959779;x;0,528593958;x;x;0,688626111;0,578685893;0,798523721;0,798523721;0,382488977;0,560827709;0,395193484;x;0,356809001;x;x;x;0,726229012;0,757907344;0,798523721;0,798523721;0,410146549;0,339680177;x;0,393145558;x;x;x;x;x;0,405510674;0,669395087;0,738261154;0,67182191;0,734734699;1;-0,390583487;-0,433126544;x;x;x;x;0,55658008;0,470058154;0,803102832;0,707625185;0,790361998;0,902703928;x;x;-0,470305625;-0,405839118;x;x;0,55658008;0,470058154;0,803102832;0,707625185;0,790361998;0,902703928;x;x;-0,470305625;-0,405839118;-0,413099027;0,535498834;-0,409101294;0,813177401;x
LT120.25;-0,378251383;x;-0,337322428;x;x;x;x;-0,423416672;-0,405082239;-0,387702748;-0,443879937;x;x;x;x;x;x;x;x;-0,395916366;-0,450477935;-0,42081618;-0,42081618;x;x;x;x;x;x;x;x;-0,456322583;-0,439396718;-0,42081618;-0,42081618;x;x;x;x;x;x;x;0,636797485;x;-0,494227777;x;-0,345322332;-0,433542245;-0,489108071;-0,390583487;1;0,788443059;0,463617819;0,452793309;0,661015253;x;-0,394630598;-0,344841512;x;-0,388568457;-0,406063706;-0,416308283;0,9575546;0,671292294;0,520291513;0,470811248;0,661015253;x;-0,394630598;-0,344841512;x;-0,388568457;-0,406063706;-0,416308283;0,9575546;0,671292294;0,520291513;0,470811248;0,505872245;x;0,506607169;-0,457733868;x
LT120.5;-0,479449061;-0,477210915;-0,34472237;x;x;-0,485809271;x;-0,562217717;-0,527060485;-0,45704741;-0,50003625;x;x;x;x;x;x;x;x;-0,497041467;-0,581610047;-0,494846408;-0,494846408;x;x;x;x;x;x;x;x;-0,595855377;-0,567881923;-0,494846408;-0,494846408;x;x;x;x;x;x;x;0,485397064;0,484125745;-0,399908989;x;x;-0,396085445;-0,549892515;-0,433126544;0,788443059;1;0,663268719;0,653105452;0,459953611;0,459952805;-0,348192483;x;x;-0,375841669;-0,475212709;-0,480781397;0,748806577;0,908967503;0,670329825;0,661677229;0,459953611;0,459952805;-0,348192483;x;x;-0,375841669;-0,475212709;-0,480781397;0,748806577;0,908967503;0,670329825;0,661677229;0,72260993;x;0,715348696;-0,533644499;x
LT120.75;-0,400007702;-0,438788726;x;x;x;-0,467234099;x;-0,479162531;-0,402397954;x;x;x;x;x;x;x;x;x;x;-0,378198563;-0,4963868;x;x;x;x;-0,399739074;-0,460305011;x;x;x;x;-0,418126012;-0,44081793;x;x;x;x;x;x;x;x;x;x;x;x;x;x;-0,336743906;-0,510608285;x;0,463617819;0,663268719;1;0,8629911;x;x;x;x;x;-0,34215695;-0,43058653;-0,370426561;0,517922791;0,782031903;0,912167336;0,773164537;x;x;x;x;x;-0,34215695;-0,43058653;-0,370426561;0,517922791;0,782031903;0,912167336;0,773164537;0,885746386;x;0,888929252;-0,455655236;0,412046617
