profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana xi;mediana fx;desviacion estandar xi;desviacion estandar fx;cantidad de valores distintos xi;cantidad de valores distintos fx;tiempo ejecucion
1;2;0.25;1;10;2.5695051133151756e-05;0.03204172876304024;1.12;0.0003075034347901527;1.0;2.5695051133151756e-05;0.34;0.0;8;481;2002,552392244339
1;2;0.5;1;15;2.5695051133151756e-05;0.03312092091063261;1.21;0.0005083768309565989;1.0;2.5695051133151756e-05;0.46;0.0;10;645;2007,94726395607
1;2;0.75;1;36;2.5695051133151756e-05;0.05013104476077907;1.82;0.00185394765500155;2.0;5.139010226630351e-05;0.9;0.01;25;1044;2048,5478930473328
1;2;1;1;36;2.5695051133151756e-05;0.048512256539390515;1.83;0.0018866900614919982;2.0;5.139010226630351e-05;0.9;0.01;25;1058;2041,7702071666718
4;0;0.25;1;308;2.5695051133151756e-05;0.05475615396474639;2.0;0.001007133368217192;1.0;2.5695051133151756e-05;5.74;0.0;90;979;2025,4107432365417
4;0;0.5;1;547;2.5695051133151756e-05;0.06153964746389845;2.83;0.0015969773366004505;1.0;5.139010226630351e-05;10.42;0.01;132;1155;2042,7228004932404
4;0;0.75;1;2036;2.5695051133151756e-05;0.08083663086489543;8.02;0.0034899508607995305;2.0;7.708515339945526e-05;40.82;0.01;299;1684;2107,4464449882507
4;0;1;1;2073;2.5695051133151756e-05;0.08392003700087364;8.11;0.003523443294991486;2.0;7.708515339945526e-05;41.48;0.01;300;1674;2114,964606285095
4;1;0.25;1;308;2.5695051133151756e-05;0.03587029138187985;1.49;0.00012950456304837307;1.0;2.5695051133151756e-05;4.91;0.0;70;346;2041,9304144382477
4;1;0.5;1;547;2.5695051133151756e-05;0.040238450074515646;1.94;0.0001489300164231506;1.0;2.5695051133151756e-05;9.16;0.0;105;377;2008,7664473056793
4;1;0.75;1;2036;2.5695051133151756e-05;0.06259314456035768;4.66;0.00023187278053367328;1.0;2.5695051133151756e-05;36.93;0.0;228;504;2002,9400334358215
4;1;1;1;2073;2.5695051133151756e-05;0.06320982578755331;4.72;0.0002356717764795121;1.0;2.5695051133151756e-05;37.55;0.0;235;510;2006,0752539634705
4;2;0.25;1;57;2.5695051133151756e-05;0.05614368672593659;1.52;0.0009484186116194434;1.0;2.5695051133151756e-05;2.18;0.0;42;910;2010,24760389328
4;2;0.5;1;86;2.5695051133151756e-05;0.058173595765455575;1.91;0.0015270887518158097;1.0;5.139010226630351e-05;3.5;0.01;61;1135;2031,2383017539978
4;2;0.75;1;312;2.5695051133151756e-05;0.07531219487126779;4.67;0.0033688537385530883;2.0;5.139010226630351e-05;13.51;0.01;178;1620;2097,605175971985
4;2;1;1;319;2.5695051133151756e-05;0.07762474947325146;4.72;0.003403939981610747;2.0;5.139010226630351e-05;13.69;0.01;176;1623;2100,8773124217987
6;0;0.25;1;382;2.5695051133151756e-05;0.06200215838429519;3.37;0.0016065322669668355;1.0;2.5695051133151756e-05;12.97;0.01;178;1301;2077,891845226288
6;0;0.5;1;700;2.5695051133151756e-05;0.06750089932678965;5.38;0.002336243196968147;1.0;5.139010226630351e-05;23.75;0.01;266;1595;2114,0301156044006
6;0;0.75;1;2716;2.5695051133151756e-05;0.10383370162906624;17.57;0.004745182960952018;2.0;7.708515339945526e-05;89.54;0.01;575;2180;2201,768029689789
6;0;1;1;2757;2.5695051133151756e-05;0.10144406187368313;17.8;0.0047829576835876145;2.0;7.708515339945526e-05;90.96;0.01;578;2179;2175,1729712486267
6;1;0.25;1;379;2.5695051133151756e-05;0.03954468369392055;2.15;0.00022184380096862432;1.0;2.5695051133151756e-05;10.18;0.0;136;496;2006,9781816005707
6;1;0.5;1;693;2.5695051133151756e-05;0.04455521866488514;3.23;0.0002545261260146736;1.0;2.5695051133151756e-05;19.43;0.0;202;530;2015,0069103240967
6;1;0.75;1;2698;2.5695051133151756e-05;0.07425869777480858;9.58;0.00041128059515839;1.0;2.5695051133151756e-05;75.5;0.0;393;638;2021,435650587082
6;1;1;1;2739;2.5695051133151756e-05;0.07425869777480858;9.72;0.0004112858770436119;1.0;2.5695051133151756e-05;76.76;0.0;411;647;2009,4852499961853
6;2;0.25;1;85;2.5695051133151756e-05;0.057145793720129505;2.24;0.0014854542915543228;1.0;2.5695051133151756e-05;5.86;0.01;71;1243;2041,6808607578278
6;2;0.5;1;141;2.5695051133151756e-05;0.06382650701474896;3.19;0.002197909962771398;1.0;5.139010226630351e-05;9.7;0.01;115;1467;2073,4822976589203
6;2;0.75;1;554;2.5695051133151756e-05;0.08947016804563442;9.62;0.004489550940219013;2.0;5.139010226630351e-05;38.09;0.01;340;2049;2191,0561287403107
6;2;1;1;561;2.5695051133151756e-05;0.09090909090909091;9.72;0.004523035451583135;2.0;5.139010226630351e-05;38.58;0.01;348;2032;2171,578817844391
